PERMNO,SecInfoStartDt,SecInfoEndDt,SecurityBegDt,SecurityEndDt,SecurityHdrFlg,HdrCUSIP,HdrCUSIP9,CUSIP,CUSIP9,PrimaryExch,ConditionalType,ExchangeTier,TradingStatusFlg,SecurityNm,ShareClass,USIncFlg,IssuerType,SecurityType,SecuritySubType,ShareType,SecurityActiveFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,Ticker,TradingSymbol,PERMCO,SICCD,NAICS,ICBIndustry,NASDCompno,NASDIssuno,IssuerNm,YYYYMMDD,DlyCalDt,DlyDelFlg,DlyPrc,DlyPrcFlg,DlyCap,DlyCapFlg,DlyPrevPrc,DlyPrevPrcFlg,DlyPrevDt,DlyPrevCap,DlyPrevCapFlg,DlyRet,DlyRetx,DlyRetI,DlyRetMissFlg,DlyRetDurFlg,DlyOrdDivAmt,DlyNonOrdDivAmt,DlyFacPrc,DlyDistRetFlg,DlyVol,DlyClose,DlyLow,DlyHigh,DlyBid,DlyAsk,DlyOpen,DlyNumTrd,DlyMMCnt,DlyPrcVol,ShrStartDt,ShrEndDt,ShrOut,ShrSource,ShrFacType,ShrAdrFlg,DisExDt,DisSeqNbr,DisOrdinaryFlg,DisType,DisFreqType,DisPaymentType,DisDetailType,DisTaxType,DisOrigCurType,DisDivAmt,DisFacPr,DisFacShr,DisDeclareDt,DisRecordDt,DisPayDt,DisPERMNO,DisPERMCO,vwretd,vwretx,ewretd,ewretx,sprtrn
19561,20090327,20221230,19340905,20221230,Y,09702310,097023105,09702310,097023105,N,RW,N/A,A,BOEING CO; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,BA,BA,20315,3721,336411,INDL,0,0,BOEING CO,20221229,20221229,N,188.9100,TR,"112,587,148.53",BP,188.3800,TR,20221228,"112,271,277.54",PB,0.002813,0.002813,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,4518946.00,188.9100,186.1900,190.2500,188.8900,188.9100,189.0000,,,"853,674,088.9",20221130,20221229,"595,983",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
22111,20211221,20221230,19440925,20221230,Y,47816010,478160104,47816010,478160104,N,RW,N/A,A,JOHNSON & JOHNSON; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,JNJ,JNJ,21018,3841,339112,HEALTH,0,0,JOHNSON & JOHNSON,20221229,20221229,N,177.5600,TR,"464,227,779.04",BP,176.6600,TR,20221228,"461,874,743.44",PB,0.005095,0.005095,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,2828780.00,177.5600,177.0700,178.3000,177.5600,177.5800,177.5500,,,"502,278,176.8",20221130,20221229,"2,614,484",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
22592,20220705,20221230,19460114,20221230,Y,88579Y10,88579Y101,88579Y10,88579Y101,N,RW,N/A,A,3M CO; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,MMM,MMM,21205,3999,339999,INDL,0,0,3M CO,20221229,20221229,N,120.5700,TR,"66,644,223.51",BP,118.2900,TR,20221228,"65,383,969.47",PB,0.019275,0.019275,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,2060929.00,120.5700,118.5000,120.8600,120.5600,120.5700,118.8700,,,"248,486,209.5",20221130,20221229,"552,743",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
22752,20091104,20221230,19460515,20221230,Y,58933Y10,58933Y105,58933Y10,58933Y105,N,RW,N/A,A,MERCK & CO INC NEW; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,MRK,MRK,21188,2834,325412,HEALTH,0,0,MERCK & CO INC NEW,20221229,20221229,N,110.8200,TR,"280,972,584.72",BP,111.0800,TR,20221228,"281,631,787.68",PB,-0.002341,-0.002341,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,4467319.00,110.8200,110.7500,111.7000,110.8300,110.8500,111.3900,,,"495,068,291.6",20221130,20221229,"2,535,396",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
26403,20210301,20221230,19571112,20221230,Y,25468710,254687106,25468710,254687106,N,RW,N/A,A,DISNEY WALT CO; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,DIS,DIS,20587,4833,515120,CONDIS,0,0,DISNEY WALT CO,20221229,20221229,N,87.1800,TR,"158,980,750.56",BP,84.1700,TR,20221228,"153,491,738.64",PB,0.035761,0.035761,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,13045069.00,87.1800,84.9700,88.2420,87.2000,87.2100,85.2500,,,"1,137,269,115.4",20221130,20221229,"1,823,592",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
43449,20190912,20221230,19660705,20221230,Y,58013510,580135101,58013510,580135101,N,RW,N/A,A,MCDONALDS CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,MCD,MCD,21177,5812,722511,CONDIS,0,0,MCDONALDS CORP,20221229,20221229,N,265.9300,TR,"194,773,514.32",BP,265.1100,TR,20221228,"194,172,926.64",PB,0.003093,0.003093,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,1393998.00,265.9300,264.8800,267.8100,265.9000,265.9400,265.9400,,,"370,705,888.1",20221130,20221229,"732,424",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
47896,20160804,20221230,19690305,20221230,Y,46625H10,46625H100,46625H10,46625H100,N,RW,N/A,A,JPMORGAN CHASE & CO; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,JPM,JPM,20436,6021,522110,FINL,0,0,JPMORGAN CHASE & CO,20221229,20221229,N,133.2200,TR,"390,761,570.10",BP,132.4600,TR,20221228,"388,532,334.30",PB,0.005738,0.005738,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,6585228.00,133.2200,132.3100,133.2700,133.2100,133.2200,132.9300,,,"877,284,074.2",20221130,20221229,"2,933,205",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
55976,20201118,20221230,19721120,20221230,Y,93114210,931142103,93114210,931142103,N,RW,N/A,A,WALMART INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,WMT,WMT,21880,5311,452210,CONDIS,0,0,WALMART INC,20221229,20221229,N,142.1500,TR,"385,828,931.70",BP,141.2900,TR,20221228,"383,494,687.02",PB,0.006087,0.006087,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,3057412.00,142.1500,141.7500,143.0200,142.1300,142.1700,142.1400,,,"434,611,115.8",20221130,20221229,"2,714,238",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
57665,20120629,20221230,19801202,20221230,Y,65410610,654106103,65410610,654106103,N,RW,N/A,A,NIKE INC; COM B; CONS,B,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,NKE,NKE,3194,3021,316210,CONDIS,60003193,4061,NIKE INC,20221229,20221229,N,117.3500,TR,"147,824,386.80",BP,114.9800,TR,20221228,"144,838,926.24",PB,0.020612,0.020612,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,4588588.00,117.3500,115.8000,118.0650,117.3500,117.3600,116.0800,,,"538,470,801.8",20221130,20221229,"1,259,688",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
59176,20210405,20221230,19721214,20221230,Y,02581610,025816109,02581610,025816109,N,RW,N/A,A,AMERICAN EXPRESS CO; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AXP,AXP,90,6141,522291,INDL,60000089,126,AMERICAN EXPRESS CO,20221229,20221229,N,147.3200,TR,"110,082,365.56",BP,144.0100,TR,20221228,"107,609,024.33",PB,0.022985,0.022985,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,1758641.00,147.3200,144.4001,147.6200,147.3200,147.3300,145.0800,,,"259,082,992.1",20221130,20221229,"747,233",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
59328,20080627,20221230,19721214,20221230,Y,45814010,458140100,45814010,458140100,Q,RW,S,A,INTEL CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,INTC,INTC,2367,3679,334413,TECH,60002366,3017,INTEL CORP,20221229,20221229,N,26.2100,TR,"108,168,670.00",BP,25.5400,TR,20221228,"105,403,580.00",PB,0.026233,0.026233,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,30766030.00,26.2100,25.7500,26.2900,26.1900,26.2000,25.7700,"139,991",64,"806,377,646.3",20220930,20221230,"4,127,000",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
59459,20090327,20221230,19721214,20221230,Y,89417E10,89417E109,89417E10,89417E109,N,RW,N/A,A,TRAVELERS COMPANIES INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,TRV,TRV,4293,6331,524126,FINL,60004292,5448,TRAVELERS COMPANIES INC,20221229,20221229,N,189.4400,TR,"44,394,885.12",BP,188.1300,TR,20221228,"44,087,889.24",PB,0.006963,0.006963,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,676542.00,189.4400,187.9600,190.0400,189.4700,189.4800,188.4700,,,"128,164,116.5",20221130,20221229,"234,348",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
